
           Claude Code v2.1.39
 ▐▛███▜▌   Opus 4.6 · Claude Max
│ Remplacer intégralement la table visibility_strata et ses données de seed :  │
│                                                                              │
│ Ancien : stratum/min_role/score_threshold/description/display_order avec     │
│ public/degraded/restricted/quarantine.                                       │
│                                                                              │
│ Nouveau (conforme à la spécification) :                                      │
│ - Colonnes : id TEXT PRIMARY KEY, label TEXT NOT NULL, description TEXT,     │
│ min_role TEXT NOT NULL DEFAULT 'anon', ordinal INTEGER NOT NULL DEFAULT 0    │
│ - Seed : public(anon,0), research(researcher,10), provider(provider,20),     │
│ instance(operator,30)                                                        │
│ - Suppression de score_threshold — les strates encodent l'accès par rôle,    │
│ pas la qualité du contenu                                                    │
│                                                                              │
│ 2.2 Migration internal/db/db.go — migrate()                                  │
│                                                                              │
│ Ajouter dans migrate() après le schema principal :                           │
│ - DROP TABLE IF EXISTS visibility_strata suivi du CREATE TABLE + INSERT avec │
│  les nouvelles données                                                       │
│ - Justification : table déclarative de seed sans données utilisateur, en     │
│ phase alpha                                                                  │
│                                                                              │
│ 2.3 Cache internal/db/visibility.go                                          │
│                                                                              │
│ roleHierarchy — remplacer intégralement :                                    │
│ - operator → ["anon", "user", "researcher", "provider", "operator"]          │
│ - provider → ["anon", "user", "researcher", "provider"]                      │
│ - researcher → ["anon", "user", "researcher"]                                │
│ - user → ["anon", "user"]                                                    │
│ - anon → ["anon"]                                                            │
│                                                                              │
│ reload() — adapter la requête SQL :                                          │
│ - Ancien : SELECT stratum, min_role FROM visibility_strata ORDER BY          │
│ display_order                                                                │
│ - Nouveau : SELECT id, min_role FROM visibility_strata ORDER BY ordinal      │
│                                                                              │
│ AllowedStrata() — modifier le fallback :                                     │
│ - Quand role == "" : utiliser "anon" au lieu de "user"                       │
│ - Quand le rôle n'est pas trouvé : retourner ["public"] au lieu de           │
│ ["public", "degraded"]                                                       │
│                                                                              │
│ VisibilityStratum struct — adapter les champs pour le nouveau schema (id,    │
│ label, minRole, ordinal).                                                    │
│                                                                              │
│ 2.4 Filtrage internal/db/nodes.go — visibilityFilterCol (ligne 672)          │
│                                                                              │
│ Modifier le fallback quand visStrata est nil/vide :                          │
│ - Ancien : col IN ('public','degraded')                                      │
│ - Nouveau : col IN ('public')                                                │
│                                                                              │
│ 2.5 Suppression autoVisibility internal/api/api.go                           │
│                                                                              │
│ - Supprimer la fonction autoVisibility (lignes 748-755)                      │
│ - Supprimer les deux appels dans handleAsk (ligne 317) et handleAnswer       │
│ (ligne 402)                                                                  │
│ - Conserver UpdateNodeVisibility dans nodes.go — elle reste utilisable par   │
│ un opérateur pour une action manuelle                                        │
│                                                                              │
│ 2.6 Export internal/export/export.go                                         │
│                                                                              │
│ Le fallback nil = ["public"] signifie que ExportAllTrees n'exporte plus que  │
│ le contenu public. Pour un export administratif complet, passer              │
│ explicitement []string{"public", "research", "provider", "instance"} au lieu │
│  de nil.                                                                     │
│                                                                              │
│ 2.7 MCP internal/mcp/server.go                                               │
│                                                                              │
│ Les appels SearchNodes et GetHotQuestions avec nil retourneront désormais    │
│ uniquement le contenu public. C'est le comportement correct pour les outils  │
│ MCP qui n'ont pas de contexte d'authentification. Aucune modification        │
│ nécessaire sauf si les outils MCP de création (ask_question, answer_node)    │
│ doivent aussi cloner — dans ce cas, ajouter l'appel à CloneNode (voir        │
│ Chantier 3).                                                                 │
│                                                                              │
│ ---                                                                          │
│ Chantier 3 — Clonage systématique                                            │
│                                                                              │
│ 3.1 Schema internal/db/schema.go (lignes 366-398)                            │
│                                                                              │
│ node_clones — remplacer par le schema de la spécification :                  │
│ - Colonnes : clone_id TEXT PRIMARY KEY, source_id TEXT NOT NULL, question_id │
│  TEXT NOT NULL, cloned_at DATETIME DEFAULT (datetime('now'))                 │
│ - Le clone_id est l'ID d'un vrai nœud dans la table nodes                    │
│ - Index : idx_clones_source(source_id), idx_clones_question(question_id)     │
│                                                                              │
│ question_sandboxes — remplacer par le schema de la spécification :           │
│ - Colonnes : question_id TEXT NOT NULL, visibility TEXT NOT NULL,            │
│ whitelist_type TEXT NOT NULL DEFAULT 'role', created_at DATETIME DEFAULT     │
│ (datetime('now'))                                                            │
│ - Clé primaire : (question_id, visibility)                                   │
│                                                                              │
│ sandbox_members — remplacer par le schema de la spécification :              │
│ - Colonnes : question_id TEXT NOT NULL, member_id TEXT NOT NULL, role TEXT   │
│ NOT NULL CHECK(role IN ('provider','researcher')), granted_by TEXT,          │
│ granted_at DATETIME DEFAULT (datetime('now'))                                │
│ - Clé primaire : (question_id, member_id)                                    │
│                                                                              │
│ 3.2 Migration internal/db/db.go                                              │
│                                                                              │
│ Ajouter dans migrate() : DROP TABLE IF EXISTS pour node_clones,              │
│ question_sandboxes, sandbox_members avant le CREATE TABLE du nouveau schema. │
│  Tables alpha sans données de production à préserver.                        │
│                                                                              │
│ 3.3 Méthode CloneNode internal/db/sandbox.go                                 │
│                                                                              │
│ Réécrire internal/db/sandbox.go avec une seule méthode principale :          │
│                                                                              │
│ CloneNode(nodeID string) error — dans une transaction :                      │
│ 1. Lire le nœud source (body, author_id, node_type, parent_id, root_id,      │
│ depth, tags, etc.)                                                           │
│ 2. Générer un nouvel ID pour le clone                                        │
│ 3. Si le nœud source a un parent_id, chercher le clone de ce parent : SELECT │
│  clone_id FROM node_clones WHERE source_id = ?                               │
│ 4. Insérer le clone dans nodes avec tous les champs copiés mais : visibility │
│  = 'provider', parent_id = clone_parent_id (ou NULL si racine), root_id =    │
│ clone de la racine                                                           │
│ 5. Insérer dans node_clones(clone_id, source_id, question_id) où question_id │
│  = le root_id du nœud source (qui est l'ID de la question racine)            │
│ 6. Dupliquer les tags si présents                                            │
│                                                                              │
│ Le clonage est intégré à la transaction de création du nœud pour l'intégrité │
│  référentielle. La méthode CreateNode dans nodes.go appelle CloneNode à la   │
│ fin de sa transaction. Alternativement, le clonage peut être fait            │
│ immédiatement après CreateNode dans les handlers, de manière synchrone.      │
│                                                                              │
│ Les structures Sandbox, NodeClone, SandboxMember sont simplifiées pour       │
│ refléter le nouveau schema.                                                  │
│                                                                              │
│ 3.4 Intégration dans les handlers internal/api/api.go                        │
│                                                                              │
│ handleAsk (ligne 269) : après la création de la question, appeler            │
│ a.db.CloneNode(node.ID) de manière synchrone. Le clone est un nœud racine    │
│ avec visibility "provider".                                                  │
│                                                                              │
│ handleAnswer (ligne 335) : remplacer le clonage conditionnel (lignes         │
│ 411-413) par un appel systématique : a.db.CloneNode(node.ID). Le parent du   │
│ clone est résolu automatiquement par CloneNode via la table node_clones.     │
│                                                                              │
│ 3.5 Déduplication FTS5                                                       │
│                                                                              │
│ Le clonage systématique double les entrées dans le FTS5. Pour éviter les     │
│ doublons dans les résultats de recherche, deux options :                     │
│ - Option A (recommandée) : dans SearchNodes, ajouter AND n.id NOT IN (SELECT │
│  clone_id FROM node_clones) pour exclure les clones. Les clones ne doivent   │
│ pas apparaître dans la recherche publique.                                   │
│ - Option B : ne pas indexer les clones dans le FTS5 en excluant les nœuds    │
│ avec visibility != 'public' du trigger FTS5.                                 │
│                                                                              │
│ L'option A est la plus simple et ne touche pas aux triggers FTS5.            │
│                                                                              │
│ 3.6 Endpoints API internal/api/sandbox.go                                    │
│                                                                              │
│ Réécriture complète. Les routes deviennent :                                 │
│ - GET /api/questions/{question_id}/clones — liste les clones d'une question  │
│ (arbre sandboxé)                                                             │
│ - POST /api/questions/{question_id}/access — configurer l'accès à un sandbox │
│  (opérateur)                                                                 │
│ - POST /api/questions/{question_id}/access/members — ajouter un membre       │
│ (opérateur)                                                                  │
│ - GET /api/questions/{question_id}/access — consulter la configuration       │
│ d'accès                                                                      │
│ - GET /api/questions/{question_id}/access/members — lister les membres       │
│                                                                              │
│ Les routes de résolution de sandbox sont supprimées. Les routes de création  │
│ de sandbox sont remplacées par les routes d'accès.                           │
│                                                                              │
│ ---                                                                          │
│ Chantier 4 — Tests E2E                                                       │
│                                                                              │
│ 4.1 Fixtures e2e/fixtures.go                                                 │
│                                                                              │
│ Remplacer Admin et Moderator par Operator, Provider, Researcher avec handles │
│  et mots de passe correspondants.                                            │
│                                                                              │
│ 4.2 DBAssert e2e/dbassert.go                                                 │
│                                                                              │
│ - QueryStrata : lire id, min_role au lieu de stratum, min_role               │
│ - AssertNodeVisibility / SetNodeVisibility : inchangés (opèrent sur          │
│ nodes.visibility)                                                            │
│                                                                              │
│ 4.3 e2e/visibility_test.go — réécriture complète                             │
│                                                                              │
│ - DefaultVisibilityPublic : inchangé (vérifie visibility = "public")         │
│ - VisibilityDegradation : supprimé, remplacé par SystematicCloneCreated —    │
│ créer un nœud, vérifier qu'un clone existe dans node_clones et que le clone  │
│ a visibility "provider"                                                      │
│ - VisibilityStrataTable : nouvelles valeurs attendues (public/anon,          │
│ research/researcher, provider/provider, instance/operator)                   │
│ - VisibilityFilterQuestions : mettre un nœud en visibility "research",       │
│ vérifier qu'un user "user" ne le voit pas                                    │
│                                                                              │
│ 4.4 e2e/sandbox_test.go — réécriture complète                                │
│                                                                              │
│ - TestSystematicCloning : créer une question + réponse, vérifier que les     │
│ clones existent et sont liés correctement dans node_clones                   │
│ - TestCloneParentLinkage : créer question → réponse → objection, vérifier    │
│ que le clone de l'objection pointe vers le clone de la réponse               │
│ - TestCloneNotInSearch : créer un nœud, chercher par mot-clé, vérifier que   │
│ le clone n'apparaît pas dans les résultats pour un utilisateur "user"        │
│ - TestCloneNotInFeed : vérifier que les clones (visibility "provider")       │
│ n'apparaissent pas dans le feed des questions pour un utilisateur "user"     │
│ - TestAccessGating : vérifier qu'un "provider" voit les clones mais qu'un    │
│ "user" ne les voit pas                                                       │
│                                                                              │
│ 4.5 e2e/security_test.go                                                     │
│                                                                              │
│ Supprimer la référence à la dégradation de visibilité dans le test           │
│ PromptInjectionDetection. Le scoring continue à fonctionner, mais il ne      │
│ modifie plus la visibilité.                                                  │
│                                                                              │
│ 4.6 e2e/golden_test.go                                                       │
│                                                                              │
│ Remplacer Users.Admin/Users.Moderator par Users.Operator/Users.Provider.     │
│                                                                              │
│ ---                                                                          │
│ Fichiers modifiés — récapitulatif                                            │
│ Fichier: internal/db/schema.go                                               │
│ Action: Modifier CHECK users.role, remplacer visibility_strata, node_clones, │
│                                                                              │
│   question_sandboxes, sandbox_members                                        │
│ ────────────────────────────────────────                                     │
│ Fichier: internal/db/db.go                                                   │
│ Action: Ajouter DROP+CREATE conditionnels dans migrate()                     │
│ ────────────────────────────────────────                                     │
│ Fichier: internal/db/visibility.go                                           │
│ Action: Nouveau roleHierarchy, nouveau reload(), nouveau fallback            │
│ AllowedStrata                                                                │
│ ────────────────────────────────────────                                     │
│ Fichier: internal/db/nodes.go                                                │
│ Action: Fallback visibilityFilterCol → ['public'], déduplication FTS5 dans   │
│   SearchNodes                                                                │
│ ────────────────────────────────────────                                     │
│ Fichier: internal/db/sandbox.go                                              │
│ Action: Réécriture : nouvelles structures, CloneNode systématique            │
│ ────────────────────────────────────────                                     │
│ Fichier: internal/db/users.go                                                │
│ Action: Ajouter SetUserRole                                                  │
│ ────────────────────────────────────────                                     │
│ Fichier: internal/api/api.go                                                 │
│ Action: Supprimer autoVisibility, clonage systématique dans                  │
│   handleAsk/handleAnswer, userRole retourne "anon"                           │
│ ────────────────────────────────────────                                     │
│ Fichier: internal/api/sandbox.go                                             │
│ Action: Réécriture : nouveaux endpoints d'accès                              │
│ ────────────────────────────────────────                                     │
│ Fichier: internal/export/export.go                                           │
│ Action: Passer strata opérateur au lieu de nil                               │
│ ────────────────────────────────────────                                     │
│ Fichier: e2e/fixtures.go                                                     │
│ Action: Operator/Provider/Researcher au lieu de Admin/Moderator              │
│ ────────────────────────────────────────                                     │
│ Fichier: e2e/dbassert.go                                                     │
│ Action: QueryStrata adapté au nouveau schema                                 │
│ ────────────────────────────────────────                                     │
│ Fichier: e2e/visibility_test.go                                              │
│ Action: Réécriture complète                                                  │
│ ────────────────────────────────────────                                     │
│ Fichier: e2e/sandbox_test.go                                                 │
│ Action: Réécriture complète                                                  │
│ ────────────────────────────────────────                                     │
│ Fichier: e2e/security_test.go                                                │
│ Action: Suppression référence autoVisibility                                 │
│ ────────────────────────────────────────                                     │
│ Fichier: e2e/golden_test.go                                                  │
│ Action: Mise à jour fixtures                                                 │
│ Fichiers inchangés : internal/auth/auth.go, internal/llm/safety_async.go,    │
│ internal/llm/scorer.go, internal/mcp/server.go (sauf ajout CloneNode         │
│ optionnel), main.go (sauf promotion bot optionnelle).                        │
│                                                                              │
│ ---                                                                          │
│ Ordre d'implémentation                                                       │
│                                                                              │
│ 1. Schema + migration (schema.go, db.go)                                     │
│ 2. Modèles et types (visibility.go, sandbox.go structures)                   │
│ 3. Logique de clonage (sandbox.go CloneNode, nodes.go déduplication FTS5)    │
│ 4. Rôles utilisateur (users.go SetUserRole)                                  │
│ 5. Handlers API (api.go : supprimer autoVisibility, clonage systématique,    │
│ userRole "anon")                                                             │
│ 6. Endpoints sandbox (api/sandbox.go réécriture)                             │
│ 7. Export (export.go strata opérateur)                                       │
│ 8. Tests E2E (fixtures, dbassert, visibility, sandbox, security, golden)     │
│ 9. Build + régression complète                                               │
│                                                                              │
│ ---                                                                          │
│ Vérification                                                                 │
│                                                                              │
│ # Build                                                                      │
│ cd horostracker && CGO_ENABLED=0 go build -o horostracker .                  │
│                                                                              │
│ # Tests ciblés                                                               │
│ cd e2e && go test -v -timeout 180s -count=1 -run                             │
│ "TestVisibility|TestSandbox"                                                 │
│                                                                              │
│ # Suite complète (régression)                                                │
│ cd e2e && go test -v -timeout 180s -count=1                                  │
│                                                                              │
│ # Critère : tous tests passent, aucune régression, clonage systématique      │
│ vérifié                                                                      │
╰──────────────────────────────────────────────────────────────────────────────╯

● Je vais commencer par lire les fichiers concernés pour comprendre l'état
  actuel du code avant d'implémenter les modifications.

● Read 6 files (ctrl+o to expand)

● Maintenant, je lis les fichiers API et les tests E2E en parallèle.

● Read 5 files (ctrl+o to expand)

● Je lis maintenant les fichiers de tests restants.

● Read 4 files (ctrl+o to expand)

● J'ai maintenant une compréhension complète de tous les fichiers à modifier. Je
   crée les tâches et commence l'implémentation dans l'ordre prescrit.

● Je commence par le chantier 1 : modification du schéma dans schema.go.

● Update(/data/HOROS SYSTEM DEV AREA/horostracker/internal/db/schema.go)
  ⎿  Added 1 line, removed 1 line
      51      handle                  TEXT UNIQUE NOT NULL,              
      52      email                   TEXT UNIQUE,                       
      53      password_hash           TEXT NOT NULL,                     
      54 -    role                    TEXT DEFAULT 'user' CHECK(role IN  
         -('user','moderator','admin')),                                 
      54 +    role                    TEXT DEFAULT 'user' CHECK(role IN  
         +('anon','user','researcher','provider','operator')),           
      55      is_bot                  INTEGER DEFAULT 0 CHECK(is_bot IN  
          (0, 1)),                                                       
      56      reputation              INTEGER DEFAULT 0,                 
      57      honor_rate              REAL DEFAULT 1.0,                  

● Update(/data/HOROS SYSTEM DEV AREA/horostracker/internal/db/schema.go)
  ⎿  Added 10 lines, removed 10 lines
      347      UPDATE mcp_tools_registry SET updated_at = strftime('%s', 
            'now') WHERE tool_name = NEW.tool_name;                      
      348  END;                                                          
      349                                                                
      350 --- Visibility strata: dynamic role-based access control       
      350 +-- Visibility strata: role-based access control               
      351  CREATE TABLE IF NOT EXISTS visibility_strata (                
      352 -    stratum TEXT PRIMARY KEY,                                 
      353 -    min_role TEXT NOT NULL DEFAULT 'user' CHECK(min_role IN   
          -('user','moderator','admin')),                                
      354 -    score_threshold REAL,                                     
      352 +    id TEXT PRIMARY KEY,                                      
      353 +    label TEXT NOT NULL,                                      
      354      description TEXT,                                         
      355 -    display_order INTEGER DEFAULT 0                           
      355 +    min_role TEXT NOT NULL DEFAULT 'anon',                    
      356 +    ordinal INTEGER NOT NULL DEFAULT 0                        
      357  );                                                            
      358                                                                
      359 -INSERT OR IGNORE INTO visibility_strata (stratum, min_role,   
          -score_threshold, description, display_order) VALUES           
      360 -    ('public', 'user', NULL, 'Visible by all authenticated    
          -users', 0),                                                   
      361 -    ('degraded', 'user', 0.3, 'Flagged content - visible with 
          - warning banner', 1),                                         
      362 -    ('restricted', 'moderator', 0.1, 'Alert content - visible 
          - to moderators only', 2),                                     
      363 -    ('quarantine', 'admin', NULL, 'Quarantined by admin       
          -action', 3);                                                  
      359 +INSERT OR IGNORE INTO visibility_strata (id, label,           
          +description, min_role, ordinal) VALUES                        
      360 +    ('public', 'Public', 'Visible by all users                
          + including anonymous', 'anon', 0),                            
      361 +    ('research', 'Research', 'Visible by researchers and      
          +above', 'researcher', 10),                                    
      362 +    ('provider', 'Provider', 'Visible by providers and        
          +above', 'provider', 20),                                      
      363 +    ('instance', 'Instance', 'Visible by operators only',     
          +'operator', 30);                                              
      364                                                                
      365  -- Sandboxed trees (Circuit 2): security collaboration space  
      366  CREATE TABLE IF NOT EXISTS node_clones (                      

● Update(/data/HOROS SYSTEM DEV AREA/horostracker/internal/db/schema.go)
  ⎿  Added 16 lines, removed 23 lines
      362      ('provider', 'Provider', 'Visible by providers and        
           above', 'provider', 20),                                      
      363      ('instance', 'Instance', 'Visible by operators only',     
           'operator', 30);                                              
      364                                                                
      365 --- Sandboxed trees (Circuit 2): security collaboration space  
      365 +-- Systematic cloning: every node is cloned into a            
          +provider-visible copy                                         
      366  CREATE TABLE IF NOT EXISTS node_clones (                      
      367      clone_id TEXT PRIMARY KEY,                                
      368 -    original_id TEXT NOT NULL,                                
      369 -    sandbox_id TEXT NOT NULL,                                 
      370 -    body TEXT NOT NULL,                                       
      371 -    author_id TEXT NOT NULL,                                  
      372 -    node_type TEXT NOT NULL,                                  
      373 -    parent_clone_id TEXT,                                     
      374 -    depth INTEGER DEFAULT 0,                                  
      375 -    created_at DATETIME DEFAULT (datetime('now'))             
      368 +    source_id TEXT NOT NULL,                                  
      369 +    question_id TEXT NOT NULL,                                
      370 +    cloned_at DATETIME DEFAULT (datetime('now'))              
      371  );                                                            
      372 -CREATE INDEX IF NOT EXISTS idx_clones_original ON node_clones(
          -original_id);                                                 
      373 -CREATE INDEX IF NOT EXISTS idx_clones_sandbox ON node_clones( 
          -sandbox_id);                                                  
      372 +CREATE INDEX IF NOT EXISTS idx_clones_source ON node_clones(  
          +source_id);                                                   
      373 +CREATE INDEX IF NOT EXISTS idx_clones_question ON node_clones(
          +question_id);                                                 
      374                                                                
      375 +-- Sandbox access control per question                        
      376  CREATE TABLE IF NOT EXISTS question_sandboxes (               
      377 -    id TEXT PRIMARY KEY,                                      
      377      question_id TEXT NOT NULL,                                
      378 -    created_by TEXT NOT NULL,                                 
      379 -    status TEXT DEFAULT 'active' CHECK(status IN              
          -('active','resolved','archived')),                            
      380 -    resolution_summary TEXT,                                  
      378 +    visibility TEXT NOT NULL,                                 
      379 +    whitelist_type TEXT NOT NULL DEFAULT 'role',              
      380      created_at DATETIME DEFAULT (datetime('now')),            
      381 -    resolved_at DATETIME                                      
      381 +    PRIMARY KEY (question_id, visibility)                     
      382  );                                                            
      383 -CREATE INDEX IF NOT EXISTS idx_sandboxes_question ON          
          -question_sandboxes(question_id);                              
      384 -CREATE INDEX IF NOT EXISTS idx_sandboxes_status ON            
          -question_sandboxes(status) WHERE status = 'active';           
      383                                                                
      384  CREATE TABLE IF NOT EXISTS sandbox_members (                  
      385 -    sandbox_id TEXT NOT NULL,                                 
      386 -    user_id TEXT NOT NULL,                                    
      387 -    role TEXT DEFAULT 'reviewer' CHECK(role IN                
          -('reviewer','analyst','lead')),                               
      388 -    joined_at DATETIME DEFAULT (datetime('now')),             
      389 -    PRIMARY KEY (sandbox_id, user_id)                         
      385 +    question_id TEXT NOT NULL,                                
      386 +    member_id TEXT NOT NULL,                                  
      387 +    role TEXT NOT NULL CHECK(role IN                          
          +('provider','researcher')),                                   
      388 +    granted_by TEXT,                                          
      389 +    granted_at DATETIME DEFAULT (datetime('now')),            
      390 +    PRIMARY KEY (question_id, member_id)                      
      391  );                                                            
      392  `                                                             

● Maintenant, la migration dans db.go.

● Update(/data/HOROS SYSTEM DEV AREA/horostracker/internal/db/db.go)
  ⎿  Added 49 lines, removed 1 line
       51      return fmt.Errorf("adding visibility column: %w", err)    
       52    }                                                           
       53    // Create index on visibility (idempotent)                  
       54 -  _, err := db.Exec("CREATE INDEX IF NOT EXISTS               
          -idx_nodes_visibility ON nodes(visibility)")                   
       54 +  if _, err := db.Exec("CREATE INDEX IF NOT EXISTS            
          +idx_nodes_visibility ON nodes(visibility)"); err != nil {     
       55 +    return err                                                
       56 +  }                                                           
       57 +                                                              
       58 +  // Alpha migration: rebuild visibility_strata, node_clones, 
          + question_sandboxes, sandbox_members                          
       59 +  // These are declarative seed/alpha tables with no          
          +production data to preserve.                                  
       60 +  alphaMigration := `                                         
       61 +    DROP TABLE IF EXISTS visibility_strata;                   
       62 +    CREATE TABLE visibility_strata (                          
       63 +      id TEXT PRIMARY KEY,                                    
       64 +      label TEXT NOT NULL,                                    
       65 +      description TEXT,                                       
       66 +      min_role TEXT NOT NULL DEFAULT 'anon',                  
       67 +      ordinal INTEGER NOT NULL DEFAULT 0                      
       68 +    );                                                        
       69 +    INSERT INTO visibility_strata (id, label, description,    
          +min_role, ordinal) VALUES                                     
       70 +      ('public', 'Public', 'Visible by all users including    
          +anonymous', 'anon', 0),                                       
       71 +      ('research', 'Research', 'Visible by researchers and    
          +above', 'researcher', 10),                                    
       72 +      ('provider', 'Provider', 'Visible by providers and      
          +above', 'provider', 20),                                      
       73 +      ('instance', 'Instance', 'Visible by operators only',   
          +'operator', 30);                                              
       74 +                                                              
       75 +    DROP TABLE IF EXISTS sandbox_members;                     
       76 +    DROP TABLE IF EXISTS question_sandboxes;                  
       77 +    DROP TABLE IF EXISTS node_clones;                         
       78 +    CREATE TABLE node_clones (                                
       79 +      clone_id TEXT PRIMARY KEY,                              
       80 +      source_id TEXT NOT NULL,                                
       81 +      question_id TEXT NOT NULL,                              
       82 +      cloned_at DATETIME DEFAULT (datetime('now'))            
       83 +    );                                                        
       84 +    CREATE INDEX idx_clones_source ON node_clones(source_id); 
       85 +    CREATE INDEX idx_clones_question ON                       
          +node_clones(question_id);                                     
